"";"name"
"1";"Galaxy S5 & Galaxy Tab 3 7.0 Lite"
"2";"Samsung Galaxy S4 Black Edition"
"3";"Samsung Galaxy S4 mini schwarz"
"4";"Samsung GALAXY Note 4"
"5";"Samsung GALAXY Tab 4 10.1 LTE T535 schwarz"
"6";"Samsung Galaxy S4 mini weiß"
"7";"iPhone 5S 16GB Gold"
"8";"iPad Air 2 Gold & Kensington Tastatur Schwarz"
"9";"Samsung Galaxy S5 weiß"
"10";"iPhone 6 64 GB Gold"
"11";"iPhone 6 16 GB Silber"
"12";"Samsung Galaxy S5 Mini schwarz"
"13";"iPhone 6 16 GB Gold"
"14";"Sony Xperia Z2 schwarz"
"15";"iPhone 6 16 GB grau"
"16";"Samsung Galaxy S4 weiß"
"17";"Sony Xperia Z3 schwarz"
"18";"Samsung Galaxy S5 schwarz"
"19";"iPhone 6 64 GB grau"
"20";"Sony Xperia Z3 compact & Selfie Stange Schwarz"
"21";"iPhone 5S 16GB Grau"
"22";"Samsung Galaxy S5 Mini weiß"
"23";"Samsung GALAXY Note Edge schwarz"
"24";"Samsung Galaxy Alpha LTE schwarz"
"25";"iPhone 6 128 GB Gold"
"26";"Bundle Galaxy Alpha 32GB & Galaxy Tab 3 7.0 Lite"
"27";"iPhone 5S 16GB Silber"
"28";"Samsung GALAXY S4 schwarz & Chromecast"
"29";"HTC One M8 grau"
"30";"iPhone 6 128 GB Grau"
"31";"iPhone 6 128 GB Silber"
"32";"iPhone 6 Plus 16 GB Gold"
"33";"iPhone 6 64 GB Silber"
"34";"iPhone 6 Plus 64 GB Gold"
"35";"iPhone 6 Plus 16 GB Silber"
"36";"Nokia Lumia 735 Dunkelgrau 8 GB"
"37";"iPhone 6 Plus 64 GB Silber"
"38";"ZTE Stick MF730M weiß"
"39";"iPhone 4S 8GB schwarz"
"40";"TREKSTOR SURFTAB WINTRON 10.1 3G"
"41";"Nokia Lumia 930 schwarz"
"42";"iPad Air 2 mit Wi-Fi/4G 16 GB grau"
"43";"iPhone 6 Plus 64 GB Grau"
"44";"iPad Air 2 mit Wi-Fi/4G 16 GB Gold"
"45";"iPhone 6 Plus 16 GB grau"
"46";"iPad mini 3 mit Wi-Fi/4G 16 GB silber"
"47";"Samsung Galaxy A3 weiß"
"48";"Sony Xperia Z3 compact schwarz"
"49";"Apple iPad Air 16 GB 4G silber"
"50";"Samsung Galaxy A3 schwarz"
"51";"HTC E8 Weiß"
"52";"Lenovo IdeaTab A7600-H 3G dunkelblau"
"53";"Samsung GALAXY Tab 4 7.0 LTE 8GB Schwarz"
"54";"Lenovo Yoga HD 10 Tab schwarz"
"55";"TrekStor 10.1 Volks-Tablet 3G schwarz"
"56";"Lenovo® A10-70 3G 16 GB & Google Chromecast"
"57";"HUAWEI MediaPad 10 Link+ & Power Bank schwarz"
"58";"Nokia Lumia 830 Schwarz 16 GB"
"59";"iPad Air 2 mit Wi-Fi/4G 16 GB silber"
"60";"Nokia Lumia 730 Dual-SIM Dunkelgrau 8 GB"
"61";"Nokia Lumia 630 Single-SIM schwarz"
"62";"Samsung GALAXY S3 mini Blau"
"63";"ZTE Surfstick MF823 4G weiß"
"64";"Mobiwire Ahiga weiß"
"65";"HUAWEI MediaPad 10 Link schwarz"
"66";"Samsung E1200i black"
"67";"Samsung GALAXY S3 mini weiß"
"68";"Nokia Lumia 530 Single-SIM weiß"
"69";"Samsung GALAXY CORE Plus schwarz"
"70";"Trekstor SurfTab xiron 7.0 3G schwarz"
"71";"Samsung GALAXY S3 Neo weiß"
"72";"Google Chromecast"
"73";"Lenovo A5500H 8.0 Blau"
"74";"Apple iPad Air 32 GB 4G grau"
"75";"iPhone 4S 8GB weiß"
"76";"Samsung GALAXY Tab S 10.5 16GB Bronze"
"77";"Samsung Gear S schwarz"
